"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Poultry","Herbaceous Veg.",0.2095,0.02,0.09,0.15,0.2625,0.7
"Continent","Mixed/Other Trees",0.27358024691358,0.01,0.06,0.15,0.29,3.13
"Evergreen/Deciduous
Needleleaf Trees","Cropland",0.355886524822695,0.01,0.09,0.15,0.38,3.7
"Cultivated/Managed
Veg.","Evergreen/Deciduous
Needleleaf Trees",0.330384615384615,0.02,0.09,0.15,0.3075,4.31
"Cultivated/Managed
Veg.","Deciduous Broadleaf
Trees",0.266172839506173,0.01,0.09,0.15,0.27,2.16
"Cultivated/Managed
Veg.","Shrubs",0.181707317073171,0.02,0.07,0.15,0.24,0.55
"Cultivated/Managed
Veg.","Herbaceous Veg.",0.233272727272727,0.02,0.085,0.15,0.275,1.58
"Regularly Flooded Veg.","Pasture Change",0.241869918699187,0.02,0.085,0.15,0.315,1.49
"Global Envir. Strat.","Regularly Flooded Veg.",0.261619718309859,0.01,0.07,0.15,0.2775,2.1
"Livestock Mammal
Headcount","Cropland",0.199779411764706,0.01,0.07,0.15,0.28,1.27
"Livestock Mammal
Headcount","Cropland Change",0.262131147540984,0.01,0.08,0.15,0.3475,2.53
"Mammal Biodiversity","Deciduous Broadleaf
Trees",0.349865771812081,0.02,0.08,0.15,0.43,3.76
"Mammal Biodiversity","Herbaceous Veg.",0.262266666666667,0.01,0.08,0.15,0.275,2.22
"Mammal Biodiversity","Cultivated/Managed
Veg.",0.370593607305936,0.01,0.07,0.15,0.375,6.79
"Mammal Biodiversity","Urban/Built-up",0.268421052631579,0.01,0.07,0.15,0.3075,2.03
"Population","Pasture",0.266746987951807,0.02,0.09,0.15,0.31,1.94
"Population Change","Population",0.29043956043956,0.02,0.08,0.15,0.285,2.42
"Poultry","Population Change",0.2762,0.02,0.0825,0.15,0.265,2.33
"Continent","Cropland Change",0.313417721518987,0.01,0.06,0.145,0.3075,4.44
