"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Herbaceous Veg.","Pasture",0.479152542372881,0.03,0.17,0.24,0.44,5.97
"Urban/Built-up","Population Change",0.480676691729323,0.02,0.11,0.24,0.4575,11.04
"Global Envir. Strat.","Shrubs",0.469710144927536,0.02,0.14,0.24,0.5975,2.91
"Livestock Mammal
Headcount","Cropland Change",0.461748251748252,0.01,0.12,0.24,0.41,9.52
"Livestock Mammal
Headcount","Mixed/Other Trees",0.386052631578947,0.03,0.1275,0.24,0.45,2.12
"Evergreen Broadleaf
Trees","Pasture",0.2875,0.03,0.1075,0.235,0.3675,1.03
"Mixed/Other Trees","Pasture",0.325625,0.02,0.14,0.235,0.4075,1.44
"Livestock Mammal
Headcount","Poultry",0.412372881355932,0.02,0.12,0.235,0.455,5.53
"Cropland Change","Pasture",0.361290322580645,0.03,0.1125,0.23,0.4375,3.59
"Evergreen Broadleaf
Trees","Pasture Change",0.431584158415842,0.03,0.15,0.23,0.48,4.23
"Mixed/Other Trees","Evergreen/Deciduous
Needleleaf Trees",0.434741379310345,0.02,0.11,0.23,0.43,4.29
"Cultivated/Managed
Veg.","Herbaceous Veg.",0.38468253968254,0.04,0.12,0.23,0.425,8.02
"Global Envir. Strat.","Cropland Change",0.510965517241379,0.02,0.11,0.23,0.58,5.7
"Livestock Mammal
Headcount","Cropland",0.424155844155844,0.04,0.16,0.23,0.5,2.9
"Livestock Mammal
Headcount","Global Envir. Strat.",0.446258064516129,0.03,0.12,0.23,0.51,5.68
"Poultry","Urban/Built-up",0.381066176470588,0.01,0.11,0.23,0.49,3.52
"Poultry","Mammal Biodiversity",0.422077922077922,0.02,0.13,0.23,0.43,3.3
"Mammal Biodiversity","Regularly Flooded Veg.",0.317727272727273,0.03,0.17,0.23,0.365,1.25
"Evergreen/Deciduous
Needleleaf Trees","Pasture",0.2775,0.04,0.1275,0.225,0.3425,0.96
"Deciduous Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.216875,0.05,0.1075,0.225,0.2675,0.61
"Cultivated/Managed
Veg.","Population",0.3446875,0.02,0.0975,0.225,0.36,3.02
"Livestock Mammal
Headcount","Herbaceous Veg.",0.396829268292683,0.03,0.0825,0.225,0.5225,2.85
"Mammal Biodiversity","Deciduous Broadleaf
Trees",0.3925,0.02,0.11,0.225,0.4425,4.53
"Cultivated/Managed
Veg.","Deciduous Broadleaf
Trees",0.324545454545455,0.01,0.1,0.22,0.43,2.15
"Regularly Flooded Veg.","Pasture",0.332307692307692,0.06,0.13,0.22,0.42,1.21
"Urban/Built-up","Shrubs",0.351137440758294,0.02,0.105,0.22,0.405,4.53
"Global Envir. Strat.","Herbaceous Veg.",0.408780487804878,0.01,0.13,0.22,0.39,4.52
"Global Envir. Strat.","Urban/Built-up",0.345390625,0.01,0.11,0.22,0.41,2.79
"Livestock Mammal
Headcount","Pasture",0.319090909090909,0.02,0.115,0.22,0.32,2.82
"Mammal Biodiversity","Population",0.308717948717949,0.02,0.13,0.22,0.355,2.71
"Poultry","Cropland Change",0.400729927007299,0.01,0.13,0.22,0.41,7.17
"Poultry","Cultivated/Managed
Veg.",0.393941176470588,0.01,0.11,0.22,0.4875,3.04
"Shrubs","Population Change",0.447,0.08,0.1575,0.215,0.3725,2.57
"Herbaceous Veg.","Cropland Change",0.444871794871795,0.02,0.13,0.21,0.41,6.32
"Global Envir. Strat.","Deciduous Broadleaf
Trees",0.383086419753086,0.03,0.1,0.21,0.47,3.14
"Global Envir. Strat.","Population Change",0.398148148148148,0.02,0.085,0.21,0.53,2.18
"Livestock Mammal
Headcount","Evergreen/Deciduous
Needleleaf Trees",0.243157894736842,0.04,0.145,0.21,0.285,0.58
"Livestock Mammal
Headcount","Population",0.41078125,0.02,0.1075,0.21,0.5025,3.26
"Mammal Biodiversity","Mixed/Other Trees",0.469837398373984,0.02,0.115,0.21,0.49,7.35
"Mammal Biodiversity","Pasture",0.574,0.03,0.115,0.21,0.51,8.91
"Poultry","Deciduous Broadleaf
Trees",0.322352941176471,0.01,0.095,0.21,0.395,2.49
"Regularly Flooded Veg.","Shrubs",0.311666666666667,0.04,0.1425,0.205,0.35,1.02
"Cultivated/Managed
Veg.","Pasture",0.408613861386139,0.02,0.12,0.2,0.52,2.7
"Regularly Flooded Veg.","Mixed/Other Trees",0.295538461538462,0.03,0.12,0.2,0.39,1.71
"Global Envir. Strat.","Regularly Flooded Veg.",0.311694915254237,0.03,0.14,0.2,0.38,2.18
"Livestock Mammal
Headcount","Shrubs",0.278214285714286,0.03,0.1175,0.2,0.4275,0.86
"Poultry","Pasture Change",0.324811320754717,0.01,0.11,0.2,0.4275,1.88
"Cropland Change","Population",0.262142857142857,0.05,0.1275,0.195,0.2925,1.24
"Deciduous Broadleaf
Trees","Cropland",0.265454545454545,0.04,0.1325,0.195,0.33,0.99
"Herbaceous Veg.","Evergreen Broadleaf
Trees",0.29,0.03,0.14,0.195,0.345,1.13
"Mixed/Other Trees","Cropland",0.313870967741935,0.02,0.11,0.19,0.4675,1.22
"Shrubs","Cropland",0.231754385964912,0.04,0.1,0.19,0.32,1.01
"Herbaceous Veg.","Mixed/Other Trees",0.29109375,0.03,0.12,0.19,0.28,1.94
"Herbaceous Veg.","Population",0.225,0.14,0.14,0.19,0.275,0.38
"Cultivated/Managed
Veg.","Evergreen Broadleaf
Trees",0.363333333333333,0.02,0.09,0.19,0.58,1.31
"Regularly Flooded Veg.","Cropland Change",0.331904761904762,0.02,0.115,0.19,0.41,1.71
"Population","Pasture",0.201176470588235,0.06,0.09,0.19,0.25,0.42
"Population Change","Population",0.305714285714286,0.02,0.11,0.19,0.39,1.22
"Poultry","Mixed/Other Trees",0.292545454545455,0.02,0.115,0.19,0.32,1.8
"Deciduous Broadleaf
Trees","Pasture",0.278529411764706,0.05,0.12,0.185,0.3875,0.86
"Mammal Biodiversity","Population Change",0.298823529411765,0.01,0.0825,0.185,0.47,1.24
"Poultry","Global Envir. Strat.",0.219807692307692,0.01,0.0875,0.185,0.2825,0.7
"Shrubs","Evergreen Broadleaf
Trees",0.317068965517241,0.05,0.12,0.18,0.3775,2.35
"Shrubs","Deciduous Broadleaf
Trees",0.303541666666667,0.02,0.1175,0.18,0.37,1.2
"Shrubs","Population",0.2046875,0.03,0.1,0.18,0.285,0.63
"Regularly Flooded Veg.","Deciduous Broadleaf
Trees",0.207619047619048,0.05,0.1,0.18,0.31,0.44
"Urban/Built-up","Evergreen/Deciduous
Needleleaf Trees",0.293430656934307,0.02,0.11,0.18,0.31,2.91
"Livestock Mammal
Headcount","Mammal Biodiversity",0.4119,0.01,0.09,0.18,0.4525,2.76
"Poultry","Evergreen Broadleaf
Trees",0.251904761904762,0.03,0.1,0.18,0.305,1.28
"Mixed/Other Trees","Population",0.432222222222222,0.07,0.1025,0.175,0.2575,3.61
"Population Change","Pasture",0.190625,0.07,0.115,0.175,0.2625,0.36
"Evergreen Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.158,0.06,0.1,0.17,0.18,0.28
"Livestock Mammal
Headcount","Deciduous Broadleaf
Trees",0.262857142857143,0.02,0.095,0.17,0.335,1.84
"Livestock Mammal
Headcount","Cultivated/Managed
Veg.",0.306075949367089,0.01,0.09,0.17,0.2975,4.55
"Poultry","Shrubs",0.248653846153846,0.04,0.1075,0.17,0.305,1.28
"Poultry","Herbaceous Veg.",0.193396226415094,0.01,0.08,0.17,0.28,0.61
