"","gridid","lon","lat","iso3","bsm_response"
"15679",7440,59.5,64.5,"RUS",0.328361892882687
"15680",7080,59.5,65.5,"RUS",0.328316740532951
"15681",6720,59.5,66.5,"RUS",0.323951155484484
"15682",6360,59.5,67.5,"RUS",0.321493903128008
"15683",6000,59.5,68.5,"RUS",0.339647269117995
"15684",5640,59.5,69.5,"RUS",0.350536870296235
"15685",5280,59.5,70.5,"RUS",0.34016685044743
"15686",3840,59.5,74.5,"RUS",0.329935916765398
"15687",3480,59.5,75.5,"RUS",0.3226143593952
"15688",3120,59.5,76.5,"RUS",0.347058330292504
"15689",2040,59.5,79.5,"RUS",0.393995229305339
"15690",1680,59.5,80.5,"RUS",0.340178592145702
"15691",1320,59.5,81.5,"RUS",0.344613612597604
"15692",30427,6.5,0.5,"STP",0.690084734166047
"15693",26827,6.5,10.5,"NGA",0.601767144587606
"15694",26467,6.5,11.5,"NGA",0.55597486623169
"15695",26107,6.5,12.5,"NGA",0.461890581111034
"15696",25747,6.5,13.5,"NER",0.468480369414701
"15697",25387,6.5,14.5,"NER",0.509856978425769
"15698",25027,6.5,15.5,"NER",0.634506358530951
"15699",24667,6.5,16.5,"NER",0.603032041500401
"15700",24307,6.5,17.5,"NER",0.617692879795265
"15701",23947,6.5,18.5,"NER",0.498531145641028
"15702",23587,6.5,19.5,"NER",0.448389324826855
"15703",23227,6.5,20.5,"DZA",0.451817191649133
"15704",22867,6.5,21.5,"DZA",0.444645825769326
"15705",22507,6.5,22.5,"DZA",0.460169804730856
"15706",22147,6.5,23.5,"DZA",0.481235958980166
"15707",21787,6.5,24.5,"DZA",0.447504097028829
"15708",21427,6.5,25.5,"DZA",0.476366155349837
"15709",21067,6.5,26.5,"DZA",0.467686833704564
"15710",20707,6.5,27.5,"DZA",0.473134156984288
"15711",20347,6.5,28.5,"DZA",0.489342731572939
"15712",19987,6.5,29.5,"DZA",0.455689340849827
"15713",19627,6.5,30.5,"DZA",0.46024443204384
"15714",19267,6.5,31.5,"DZA",0.453808592694324
"15715",18907,6.5,32.5,"DZA",0.44212488362702
"15716",18547,6.5,33.5,"DZA",0.556059872549275
"15717",18187,6.5,34.5,"DZA",0.581755596857447
"15718",17827,6.5,35.5,"DZA",0.555676818343673
"15719",17467,6.5,36.5,"DZA",0.388111645150998
"15720",17107,6.5,37.5,"DZA",0.567423302088078
"15721",28987,6.5,4.5,"NGA",0.657685267650014
"15722",15307,6.5,42.5,"FRA",0.390609832256687
"15723",14947,6.5,43.5,"FRA",0.457972753537571
"15724",14587,6.5,44.5,"FRA",0.518090092826146
"15725",14227,6.5,45.5,"FRA",0.487812838968889
"15726",13867,6.5,46.5,"CHE",0.522411362083327
"15727",13507,6.5,47.5,"FRA",0.508032633661859
"15728",13147,6.5,48.5,"FRA",0.47823774548283
"15729",12787,6.5,49.5,"DEU",0.460649240175829
"15730",28627,6.5,5.5,"NGA",0.589868674122245
"15731",12427,6.5,50.5,"DEU",0.423120373191993
"15732",12067,6.5,51.5,"DEU",0.335606928510602
"15733",11707,6.5,52.5,"NLD",0.29865910865003
"15734",11347,6.5,53.5,"NLD",0.346836402224791
"15735",9547,6.5,58.5,"NOR",0.528031801155443
"15736",9187,6.5,59.5,"NOR",0.473191627942099
"15737",28267,6.5,6.5,"NGA",0.549304617931828
"15738",8827,6.5,60.5,"NOR",0.448327590549278
"15739",8467,6.5,61.5,"NOR",0.442246076691391
"15740",8107,6.5,62.5,"NOR",0.450741955292963
"15741",27907,6.5,7.5,"NGA",0.563856361104008
"15742",27547,6.5,8.5,"NGA",0.622743012298823
"15743",27187,6.5,9.5,"NGA",0.641377343102209
"15744",21481,60.5,25.5,"IRN",0.495230130790769
"15745",21121,60.5,26.5,"IRN",0.468695746503999
"15746",20761,60.5,27.5,"IRN",0.531907513488151
"15747",20401,60.5,28.5,"IRN",0.498271696281732
"15748",20041,60.5,29.5,"IRN",0.391244532944291
"15749",19681,60.5,30.5,"IRN",0.467190466992182
"15750",19321,60.5,31.5,"IRN",0.521251238524374
"15751",18961,60.5,32.5,"IRN",0.559618880285914
"15752",18601,60.5,33.5,"IRN",0.621747831460298
"15753",18241,60.5,34.5,"IRN",0.615526242468234
"15754",17881,60.5,35.5,"IRN",0.617275345805378
"15755",17521,60.5,36.5,"IRN",0.640301939277937
"15756",17161,60.5,37.5,"TKM",0.539681813002215
"15757",16801,60.5,38.5,"TKM",0.5552944111179
"15758",16441,60.5,39.5,"TKM",0.479202111824346
"15759",16081,60.5,40.5,"TKM",0.491614222926052
"15760",15721,60.5,41.5,"UZB",0.412660837210488
"15761",15361,60.5,42.5,"UZB",0.549358039838428
"15762",15001,60.5,43.5,"UZB",0.516813397168189
"15763",14641,60.5,44.5,"UZB",0.483955097238536
"15764",14281,60.5,45.5,"KAZ",0.485265217890173
"15765",13921,60.5,46.5,"KAZ",0.52200320686529
"15766",13561,60.5,47.5,"KAZ",0.462397372268911
"15767",13201,60.5,48.5,"KAZ",0.575198401289102
"15768",12841,60.5,49.5,"KAZ",0.569554686665721
"15769",12481,60.5,50.5,"KAZ",0.53895363193559
"15770",12121,60.5,51.5,"RUS",0.542480597053076
"15771",11761,60.5,52.5,"RUS",0.507271544229604
"15772",11401,60.5,53.5,"RUS",0.499727639653185
"15773",11041,60.5,54.5,"RUS",0.502178573577715
"15774",10681,60.5,55.5,"RUS",0.541103063277203
"15775",10321,60.5,56.5,"RUS",0.447777033141637
"15776",9961,60.5,57.5,"RUS",0.494850946433424
"15777",9601,60.5,58.5,"RUS",0.499256763400197
"15778",9241,60.5,59.5,"RUS",0.475033398129134
"15779",8881,60.5,60.5,"RUS",0.384989645346771
"15780",8521,60.5,61.5,"RUS",0.371742310207286
"15781",8161,60.5,62.5,"RUS",0.350788450567579
"15782",7801,60.5,63.5,"RUS",0.348936997193559
"15783",7441,60.5,64.5,"RUS",0.329111112850163
"15784",7081,60.5,65.5,"RUS",0.329644034516916
"15785",6721,60.5,66.5,"RUS",0.33095858337816
"15786",6361,60.5,67.5,"RUS",0.326382741630897
"15787",6001,60.5,68.5,"RUS",0.324327828808126
"15788",5641,60.5,69.5,"RUS",0.356308346826006
"15789",5281,60.5,70.5,"RUS",0.375633653179206
"15790",3841,60.5,74.5,"RUS",0.326160605050481
"15791",3481,60.5,75.5,"RUS",0.334219447859025
"15792",3121,60.5,76.5,"RUS",0.326898700894449
"15793",2041,60.5,79.5,"RUS",0.408085012254324
"15794",1681,60.5,80.5,"RUS",0.341024988957679
"15795",1321,60.5,81.5,"RUS",0.356301018161802
"15796",21482,61.5,25.5,"IRN",0.495584057605047
"15797",21122,61.5,26.5,"IRN",0.478127831799852
"15798",20762,61.5,27.5,"IRN",0.515473703540737
"15799",20402,61.5,28.5,"IRN",0.541445741229337
"15800",20042,61.5,29.5,"PAK",0.414048854975209
"15801",19682,61.5,30.5,"AFG",0.571452527870973
"15802",19322,61.5,31.5,"AFG",0.600441799561286
"15803",18962,61.5,32.5,"AFG",0.61229653630599
"15804",18602,61.5,33.5,"AFG",0.571998631800226
"15805",18242,61.5,34.5,"AFG",0.502336911848072
"15806",17882,61.5,35.5,"AFG",0.565882946987505
"15807",17522,61.5,36.5,"TKM",0.60180368776396
"15808",17162,61.5,37.5,"TKM",0.537165554127356
"15809",16802,61.5,38.5,"TKM",0.58171406638592
"15810",16442,61.5,39.5,"TKM",0.487913118729618
"15811",16082,61.5,40.5,"TKM",0.482369906468435
"15812",15722,61.5,41.5,"UZB",0.520636299757651
"15813",15362,61.5,42.5,"UZB",0.430555089335467
"15814",15002,61.5,43.5,"UZB",0.424924294246257
"15815",14642,61.5,44.5,"KAZ",0.495048008805521
"15816",14282,61.5,45.5,"KAZ",0.55636437768109
"15817",13922,61.5,46.5,"KAZ",0.562696467330152
"15818",13562,61.5,47.5,"KAZ",0.498148344740918
"15819",13202,61.5,48.5,"KAZ",0.557702324696846
"15820",12842,61.5,49.5,"KAZ",0.564076638811138
"15821",12482,61.5,50.5,"KAZ",0.547457573567625
"15822",12122,61.5,51.5,"KAZ",0.518341868299287
"15823",11762,61.5,52.5,"KAZ",0.470183885397782
"15824",11402,61.5,53.5,"KAZ",0.505842740348171
"15825",11042,61.5,54.5,"RUS",0.479911166737659
"15826",10682,61.5,55.5,"RUS",0.461242286435649
"15827",10322,61.5,56.5,"RUS",0.501743631283506
"15828",9962,61.5,57.5,"RUS",0.499930808267752
"15829",9602,61.5,58.5,"RUS",0.525493138517616
"15830",9242,61.5,59.5,"RUS",0.495495971701852
"15831",8882,61.5,60.5,"RUS",0.424988804888624
"15832",8522,61.5,61.5,"RUS",0.345988434413132
"15833",8162,61.5,62.5,"RUS",0.355392902587639
"15834",7802,61.5,63.5,"RUS",0.341251107138476
"15835",7442,61.5,64.5,"RUS",0.327927491203736
"15836",7082,61.5,65.5,"RUS",0.324090972407435
"15837",6722,61.5,66.5,"RUS",0.316754930696782
"15838",6362,61.5,67.5,"RUS",0.326531612422072
"15839",6002,61.5,68.5,"RUS",0.33126459204063
"15840",5642,61.5,69.5,"RUS",0.339874442997781
"15841",3482,61.5,75.5,"RUS",0.324858761042744
"15842",3122,61.5,76.5,"RUS",0.323642161683962
"15843",1682,61.5,80.5,"RUS",0.340046160760836
"15844",1322,61.5,81.5,"RUS",0.349857804253056
"15845",21483,62.5,25.5,"PAK",0.503676402486023
"15846",21123,62.5,26.5,"PAK",0.521076429378781
"15847",20763,62.5,27.5,"IRN",0.477643759723551
"15848",20403,62.5,28.5,"PAK",0.43159633428274
"15849",20043,62.5,29.5,"PAK",0.513769805120341
"15850",19683,62.5,30.5,"AFG",0.457934087412178
"15851",19323,62.5,31.5,"AFG",0.578420809145171
"15852",18963,62.5,32.5,"AFG",0.587812520980355
"15853",18603,62.5,33.5,"AFG",0.567497887640238
"15854",18243,62.5,34.5,"AFG",0.537939576515095
"15855",17883,62.5,35.5,"TKM",0.540527823364051
"15856",17523,62.5,36.5,"TKM",0.54560417330878
"15857",17163,62.5,37.5,"TKM",0.568854189270143
"15858",16803,62.5,38.5,"TKM",0.54479842528283
"15859",16443,62.5,39.5,"TKM",0.547756565065784
"15860",16083,62.5,40.5,"UZB",0.596002601531494
"15861",15723,62.5,41.5,"UZB",0.463819033431634
"15862",15363,62.5,42.5,"UZB",0.505382828535489
"15863",15003,62.5,43.5,"UZB",0.444952397828863
"15864",14643,62.5,44.5,"KAZ",0.508769384504087
"15865",14283,62.5,45.5,"KAZ",0.586579045660274
"15866",13923,62.5,46.5,"KAZ",0.49636986718997
"15867",13563,62.5,47.5,"KAZ",0.529241626419103
"15868",13203,62.5,48.5,"KAZ",0.547833007965858
"15869",12843,62.5,49.5,"KAZ",0.572488213306854
"15870",12483,62.5,50.5,"KAZ",0.547141209903878
"15871",12123,62.5,51.5,"KAZ",0.527761488084613
"15872",11763,62.5,52.5,"KAZ",0.47395893600692
"15873",11403,62.5,53.5,"KAZ",0.457322665843003
"15874",11043,62.5,54.5,"RUS",0.497514290867558
"15875",10683,62.5,55.5,"RUS",0.493264919094788
"15876",10323,62.5,56.5,"RUS",0.501616310850595
"15877",9963,62.5,57.5,"RUS",0.546694799658876
"15878",9603,62.5,58.5,"RUS",0.527021396731041
"15879",9243,62.5,59.5,"RUS",0.501298624027517
"15880",8883,62.5,60.5,"RUS",0.406480758600343
"15881",8523,62.5,61.5,"RUS",0.36924067346527
"15882",8163,62.5,62.5,"RUS",0.337685548755977
"15883",7803,62.5,63.5,"RUS",0.341532007658043
"15884",7443,62.5,64.5,"RUS",0.33430442186893
"15885",7083,62.5,65.5,"RUS",0.315019419835635
"15886",6723,62.5,66.5,"RUS",0.321020173764784
"15887",6363,62.5,67.5,"RUS",0.325696680668117
"15888",6003,62.5,68.5,"RUS",0.340234345554506
"15889",5643,62.5,69.5,"RUS",0.343466152146041
"15890",3483,62.5,75.5,"RUS",0.328177673091868
"15891",3123,62.5,76.5,"RUS",0.327759213336353
"15892",1683,62.5,80.5,"RUS",0.350358734438155
"15893",1323,62.5,81.5,"RUS",0.353687987117636
"15894",21484,63.5,25.5,"PAK",0.431014826410735
"15895",21124,63.5,26.5,"PAK",0.470995221963059
"15896",20764,63.5,27.5,"PAK",0.437959219354845
"15897",20404,63.5,28.5,"PAK",0.490373920000616
"15898",20044,63.5,29.5,"PAK",0.548839034281286
"15899",19684,63.5,30.5,"AFG",0.609284700796659
"15900",19324,63.5,31.5,"AFG",0.534352285292188
"15901",18964,63.5,32.5,"AFG",0.540251226993984
"15902",18604,63.5,33.5,"AFG",0.542636002374265
"15903",18244,63.5,34.5,"AFG",0.490105096213382
"15904",17884,63.5,35.5,"AFG",0.469955146066758
"15905",17524,63.5,36.5,"TKM",0.518620458100056
"15906",17164,63.5,37.5,"TKM",0.602197275746468
"15907",16804,63.5,38.5,"TKM",0.579572980806702
"15908",16444,63.5,39.5,"UZB",0.427583139137875
"15909",16084,63.5,40.5,"UZB",0.525579742201136
"15910",15724,63.5,41.5,"UZB",0.5031903384712
"15911",15364,63.5,42.5,"UZB",0.499557961161735
"15912",15004,63.5,43.5,"UZB",0.470196478546835
"15913",14644,63.5,44.5,"KAZ",0.575588281468757
"15914",14284,63.5,45.5,"KAZ",0.609868211507811
"15915",13924,63.5,46.5,"KAZ",0.495331121678328
"15916",13564,63.5,47.5,"KAZ",0.447233666482336
"15917",13204,63.5,48.5,"KAZ",0.557124344854221
"15918",12844,63.5,49.5,"KAZ",0.577949077433473
"15919",12484,63.5,50.5,"KAZ",0.543988987885814
"15920",12124,63.5,51.5,"KAZ",0.542818968320294
"15921",11764,63.5,52.5,"KAZ",0.467952601181227
"15922",11404,63.5,53.5,"KAZ",0.447458446715502
"15923",11044,63.5,54.5,"RUS",0.512995749019371
"15924",10684,63.5,55.5,"RUS",0.471628890151305
"15925",10324,63.5,56.5,"RUS",0.483452327666903
"15926",9964,63.5,57.5,"RUS",0.552738985443783
"15927",9604,63.5,58.5,"RUS",0.524860758245753
"15928",9244,63.5,59.5,"RUS",0.470917915558284
"15929",8884,63.5,60.5,"RUS",0.406306543582683
"15930",8524,63.5,61.5,"RUS",0.360076832797971
"15931",8164,63.5,62.5,"RUS",0.359626170422535
"15932",7804,63.5,63.5,"RUS",0.345203974250685
"15933",7444,63.5,64.5,"RUS",0.329578046796507
"15934",7084,63.5,65.5,"RUS",0.322018273001238
"15935",6724,63.5,66.5,"RUS",0.330617134314585
"15936",6364,63.5,67.5,"RUS",0.347882202336497
"15937",6004,63.5,68.5,"RUS",0.331810829979657
"15938",5644,63.5,69.5,"RUS",0.353559026922943
"15939",3484,63.5,75.5,"RUS",0.322712203224101
"15940",3124,63.5,76.5,"RUS",0.3399551924042
"15941",1684,63.5,80.5,"RUS",0.34745731219924
"15942",1324,63.5,81.5,"RUS",0.358191011510845
"15943",21485,64.5,25.5,"PAK",0.438996585376891
"15944",21125,64.5,26.5,"PAK",0.460400036003437
"15945",20765,64.5,27.5,"PAK",0.54991967907842
"15946",20405,64.5,28.5,"PAK",0.529403881528099
"15947",20045,64.5,29.5,"PAK",0.578664513893964
"15948",19685,64.5,30.5,"AFG",0.600101817633078
"15949",19325,64.5,31.5,"AFG",0.593752937972244
"15950",18965,64.5,32.5,"AFG",0.570208121820085
"15951",18605,64.5,33.5,"AFG",0.570471186160272
"15952",18245,64.5,34.5,"AFG",0.529276295651428
"15953",17885,64.5,35.5,"AFG",0.534618669508353
"15954",17525,64.5,36.5,"TKM",0.553407042751505
"15955",17165,64.5,37.5,"TKM",0.598131148494961
"15956",16805,64.5,38.5,"TKM",0.586442419801098
"15957",16445,64.5,39.5,"UZB",0.464370459813316
"15958",16085,64.5,40.5,"UZB",0.481988501944165
"15959",15725,64.5,41.5,"UZB",0.523348138228646
"15960",15365,64.5,42.5,"UZB",0.521280045406629
"15961",15005,64.5,43.5,"UZB",0.49038114549219
"15962",14645,64.5,44.5,"KAZ",0.581121631556275
"15963",14285,64.5,45.5,"KAZ",0.557351022113581
"15964",13925,64.5,46.5,"KAZ",0.471204732015559
"15965",13565,64.5,47.5,"KAZ",0.46217272782618
"15966",13205,64.5,48.5,"KAZ",0.559624914581028
"15967",12845,64.5,49.5,"KAZ",0.562385462220471
"15968",12485,64.5,50.5,"KAZ",0.547434072821405
"15969",12125,64.5,51.5,"KAZ",0.547812411763814
"15970",11765,64.5,52.5,"KAZ",0.517591656568671
"15971",11405,64.5,53.5,"KAZ",0.484592935029495
"15972",11045,64.5,54.5,"RUS",0.518736012064723
"15973",10685,64.5,55.5,"RUS",0.450748082385149
"15974",10325,64.5,56.5,"RUS",0.511768396640093
"15975",9965,64.5,57.5,"RUS",0.535163072021671
"15976",9605,64.5,58.5,"RUS",0.493690812616116
"15977",9245,64.5,59.5,"RUS",0.471404756129682
"15978",8885,64.5,60.5,"RUS",0.458088268108349
"15979",8525,64.5,61.5,"RUS",0.348963524296861
"15980",8165,64.5,62.5,"RUS",0.346457346139968
"15981",7805,64.5,63.5,"RUS",0.345368073133838
"15982",7445,64.5,64.5,"RUS",0.323200444858741
"15983",7085,64.5,65.5,"RUS",0.329202851435146
"15984",6725,64.5,66.5,"RUS",0.33258092038654
"15985",6365,64.5,67.5,"RUS",0.354655360311783
"15986",6005,64.5,68.5,"RUS",0.341143200608505
"15987",5645,64.5,69.5,"RUS",0.332600727058543
"15988",3485,64.5,75.5,"RUS",0.329776281275203
"15989",3125,64.5,76.5,"RUS",0.331246653745715
"15990",1685,64.5,80.5,"RUS",0.351922167130849
"15991",1325,64.5,81.5,"RUS",0.344884075218934
"15992",21486,65.5,25.5,"PAK",0.485698166017089
"15993",21126,65.5,26.5,"PAK",0.523053940146782
"15994",20766,65.5,27.5,"PAK",0.524154973910891
"15995",20406,65.5,28.5,"PAK",0.585330601716759
"15996",20046,65.5,29.5,"PAK",0.563455290056664
"15997",19686,65.5,30.5,"AFG",0.591623148788798
"15998",19326,65.5,31.5,"AFG",0.565622890700972
"15999",18966,65.5,32.5,"AFG",0.544071211935376
"16000",18606,65.5,33.5,"AFG",0.56229010989542
"16001",18246,65.5,34.5,"AFG",0.54669921768448
"16002",17886,65.5,35.5,"AFG",0.500310546319873
"16003",17526,65.5,36.5,"AFG",0.565377139907572
"16004",17166,65.5,37.5,"TKM",0.537168111163401
"16005",16806,65.5,38.5,"UZB",0.488035868869694
"16006",16446,65.5,39.5,"UZB",0.510517711499349
"16007",16086,65.5,40.5,"UZB",0.503978720913587
"16008",15726,65.5,41.5,"UZB",0.517157177205733
"16009",15366,65.5,42.5,"UZB",0.505552058513428
"16010",15006,65.5,43.5,"KAZ",0.497016986839247
"16011",14646,65.5,44.5,"KAZ",0.551438992912062
"16012",14286,65.5,45.5,"KAZ",0.577291849489377
"16013",13926,65.5,46.5,"KAZ",0.469676408911668
"16014",13566,65.5,47.5,"KAZ",0.469012015632892
