gridid,lon,lat,pop,weight_pubs,weight_pop,bsm_response,bsm_weight_pubs,bsm_weight_pop,pubs_fit,country
26820,-0.5,10.5,886883.3125,1.0549522082650447e-5,1.450674595309741e-4,0.5949141285344017,6.276059736254418e-6,8.630268126556904e-5,1.420100234720093,Ghana
26460,-0.5,11.5,916127.8125,1.0996234972379774e-5,1.498509809485716e-4,0.4973071213241814,5.468505959518475e-6,7.452195996313889e-5,1.4802334876378147,Burkina Faso
26100,-0.5,12.5,824395.375,9.830611436693678e-6,1.348463106868241e-4,0.46702313123101974,4.5911229350801546e-6,6.297634625191152e-5,1.3233256918481484,Burkina Faso
25740,-0.5,13.5,503257.1875,8.7824753922382e-6,8.231775325159035e-5,0.5195012455112438,4.562506904939595e-6,4.276417534188842e-5,1.1822332109671705,Burkina Faso
25380,-0.5,14.5,228245.875,8.059619750434066e-6,3.7334166477142136e-5,0.5954108129764193,4.798784747886752e-6,2.2229166413952178e-5,1.0849276213345365,Burkina Faso
25020,-0.5,15.5,26826.46289,8.059619750434066e-6,4.388003207191085e-6,0.6514237915798299,5.2502280565194415e-6,2.8584496866928705e-6,1.0849276213345365,Mali
24660,-0.5,16.5,117195.7734,1.3649743046661632e-5,1.9169706854649732e-5,0.5982028177522818,8.165314752107604e-6,1.14673726559367e-5,1.8374295207468898,Mali
24300,-0.5,17.5,16607.74805,8.059619750434066e-6,2.7165285265686955e-6,0.4929580007137475,3.97305403868701e-6,1.3391344713391664e-6,1.0849276213345365,Mali
23940,-0.5,18.5,6247.276367,8.059619750434066e-6,1.021866686152789e-6,0.4627074777599723,3.729246326427804e-6,4.728253569566982e-7,1.0849276213345365,Mali
23580,-0.5,19.5,3457.988525,8.059619750434066e-6,5.656230118874972e-7,0.474535180732397,3.824573114906625e-6,2.684080181724362e-7,1.0849276213345365,Mali
23220,-0.5,20.5,3412.26123,8.059619750434066e-6,5.581434005075351e-7,0.4475257358914522,3.606887259818288e-6,2.4978353604509224e-7,1.0849276213345365,Mali
22860,-0.5,21.5,3090.381103,8.059619750434066e-6,5.054934840650073e-7,0.44451681411002764,3.582636494401207e-6,2.2470035308995506e-7,1.0849276213345365,Mali
22500,-0.5,22.5,5877.095703,8.059619750434066e-6,9.61316253263717e-7,0.43630032215822656,3.5164146935871884e-6,4.19422590994899e-7,1.0849276213345365,Algeria
22140,-0.5,23.5,6732.530761,8.059619750434066e-6,1.1012397233625993e-6,0.438145338352304,3.531284822544846e-6,4.825030511997038e-7,1.0849276213345365,Algeria
21780,-0.5,24.5,6683.24707,8.059619750434066e-6,1.0931783924649346e-6,0.43932992016608474,3.540832101527198e-6,4.802659758889086e-7,1.0849276213345365,Algeria
21420,-0.5,25.5,6626.83789,8.059619750434066e-6,1.0839515456842027e-6,0.43796943294514595,3.5298670918511068e-6,4.747376438033247e-7,1.0849276213345365,Algeria
21060,-0.5,26.5,6570.664062,8.059619750434066e-6,1.0747631954184625e-6,0.4390840497353182,3.5388504793473447e-6,4.719113763508097e-7,1.0849276213345365,Algeria
20700,-0.5,27.5,51688.97656,8.059619750434066e-6,8.454763337668808e-6,0.5069806734747848,4.08607144902574e-6,4.286401611001252e-6,1.0849276213345365,Algeria
20340,-0.5,28.5,6452.267578,8.059619750434066e-6,1.0553970883903978e-6,0.47745678752800313,3.848120154739496e-6,5.039065033892873e-7,1.0849276213345365,Algeria
19980,-0.5,29.5,5199.43164,8.059619750434066e-6,8.504707760185377e-7,0.44896825207386026,3.6185133917323444e-6,3.8183437774894237e-7,1.0849276213345365,Algeria
19620,-0.5,30.5,3846.933105,8.059619750434066e-6,6.292426575880038e-7,0.4280811196836874,3.450171046990576e-6,2.693669014130118e-7,1.0849276213345365,Algeria
19260,-0.5,31.5,4990.751464,8.059619750434066e-6,8.163369699584575e-7,0.45341246728878104,3.6543320764536994e-6,3.701373596879117e-7,1.0849276213345365,Algeria
18900,-0.5,32.5,43733.84375,9.7707737610555e-6,7.153542657661708e-6,0.5858314092563469,5.724026161964081e-6,4.1907699763133515e-6,1.3152707774593129,Algeria
18540,-0.5,33.5,78471.39844,1.4897923093358582e-5,1.2835562759033922e-5,0.5515307575609774,8.216662809765237e-6,7.079207652211448e-6,2.005450475952279,Algeria
18180,-0.5,34.5,312663.5625,1.841505320417912e-5,5.1142363443419666e-5,0.5794479930124063,1.0670565620378272e-5,2.9634339855200586e-5,2.478901050943871,Algeria
17820,-0.5,35.5,1895155.625,3.039178139264338e-4,3.099905117840239e-4,0.3960137022235665,1.2035561866470006e-4,1.2276049022576943e-4,40.9112143195887,Algeria
17100,-0.5,37.5,290191.4063,4.7776383758970685e-5,4.7466593966003514e-5,0.6077469041435429,2.9035949320688278e-5,2.884767553307721e-5,6.431310656410861,Spain
16740,-0.5,38.5,1510993.125,8.292306199990992e-4,2.4715307067243704e-4,0.43745644911474657,3.6275228252202567e-4,1.0811870468417032e-4,111.62501854320521,Spain
