country,pop,weight_pubs,weight_pop,bsm_response,bsm_weight_pubs,bsm_weight_pop,pubs_fit,bsm_weight_pop_2,bsm_over_pop
Afghanistan,26464558.652415,8.573322099214297e-4,0.0043288065489610885,32.111310950260155,4.423948006686507e-4,0.0021626736839065485,115.40785099116414,13221705.314485688,0.4996004463229223
Albania,2251436.8125,1.3932469068393767e-4,3.682674079899199e-4,1.5274459812440015,7.043585362217621e-5,1.883867303597276e-4,18.754880495293058,1151719.6757471722,0.5115487449404811
Algeria,30480654.677733,0.003827645741777742,0.004985719177053101,106.16535435425226,0.001774797904611172,0.002350890303241797,515.2499396407059,14372385.000772987,0.47152481312261413
Andorra,220946.7813,5.895112791316772e-5,3.614025408188829e-5,0.5486983101087559,3.2346384264960236e-5,1.9830096341633173e-5,7.9355737568607365,121233.12552327887,0.5486983101087559
Angola,14848893.174518,0.001227481310104986,0.002428832721637377,81.8555398357779,8.693400135167279e-4,0.0017339829944715095,165.2346412413663,10600865.1900822,0.7139161865797655
Anguilla,73024.183227,0,1.1944562036243364e-5,1.4818686484554209,0,6.318466513946226e-6,0,38628.528616457035,0.5289826864119516
Antigua,77006.34375,0,1.2595923835900797e-5,0.6584762549063536,0,8.294116754549629e-6,0,50706.848836531295,0.6584762549063536
Argentina,37051531.423527,0.008380870624392365,0.006060517161149222,186.54803068301896,0.0048871243759820255,0.003442966370523747,1128.1720866229202,21048892.903954335,0.5680977842278524
Armenia,2415504.25,1.7258506708195582e-4,3.9510391062158015e-4,1.104200372524632,9.18353464431347e-5,2.120962880642755e-4,23.232151404785995,1296670.2466257478,0.5368114117893801
Aruba,38229.26953,1.5853328734667575e-5,6.2531597249350385e-6,0.682764793165882,1.082409471451604e-5,4.269437306228495e-6,2.134060261764958,26101.599303533203,0.682764793165882
Australia,19275380.392401,0.018705851267152414,0.003152873016785693,495.0619371627737,0.011676670140726339,0.0018507896168266616,2518.046179438713,11314973.264292702,0.5870168595351531
Austria,10432533.7501,0.006193438081539298,0.0017064490291648748,5.58078176141573,0.002739670538119428,7.652184642203676e-4,833.7157649807583,4678233.757785068,0.4484273782234565
Azerbaijan,7838708.303497,4.003647979398102e-4,0.00128217712924062,7.415272149944625,2.1228892166779738e-4,6.763571640881767e-4,53.89420857870212,4134971.9920582958,0.5275068074944955
Bahamas,313850.303111,9.256416230828815e-6,5.1336478546425405e-5,14.654844883065103,6.024695935246581e-6,3.132519532614373e-5,1.2460316931024744,191509.47487040012,0.6101936909797046
Bahrain,1191682.75,3.5920006485408814e-4,1.949234884373641e-4,0.4401773631575363,1.5811173739348856e-4,8.580090715782745e-5,48.35291043654618,524551.7706153216,0.44017736315753636
Bangladesh,137267973.8751,0.002473310819748445,0.022452915692925363,7.370215072539952,9.442535540367301e-4,0.0095362108418128,332.93918417753343,58300505.76076672,0.42472037806731455
Barbados,251656,0,4.116335946475125e-5,0.6538348973999379,0,2.69140409122724e-5,0,164541.47494007877,0.6538348973999379
Belarus,9989645.555259999,9.795918457199244e-4,0.0016340058290548287,13.632539094036535,4.194088254967282e-4,7.21270971858496e-4,131.86555742885852,4409556.704171656,0.44141272878794235
Belgium,9317197.9688,0.004596284285016496,0.0015240136106191174,1.461810496524258,0.0015967567250637468,5.259093723192596e-4,618.7184917814135,3215195.5214857333,0.3450818080985598
Belice,160854.843778,1.9926970770829088e-5,2.631101883555417e-5,2.004832783048697,1.4660671522581037e-5,1.9255168863362164e-5,2.682424440388033,117718.25328366821,0.731829085893952
Benin,6876709.9376,5.506795177804061e-4,0.0011248231041431794,6.260525351509649,3.2524462822816765e-4,6.790779478139829e-4,74.12848717967978,4151605.7546618516,0.6037197718580491
Bhutan,1154455.01568,2.725564219161393e-5,1.8883414977715964e-4,1.955652088973701,1.7523432708472994e-5,1.1232495049488116e-4,3.668957093081266,686708.959358515,0.5948338826818886
Bolivia,8269042.311192,0.0011367127938359022,0.0013525668415807046,67.90741215806115,8.050562836424156e-4,9.075245036326367e-4,153.01604117123537,5548234.873340286,0.6709646249881742
Bosnia,3195649.5938,1.5729120152079825e-4,5.227122458950938e-4,2.7768705411272263,8.718721535826477e-5,2.8975233583341034e-4,21.17340202230015,1771427.6670963487,0.5543247515413336
Botswana,2287491.462872,5.660546019037434e-4,3.741648653668096e-4,34.39417743907717,3.715766878176795e-4,2.471230880763812e-4,76.19816961660273,1510809.823629773,0.6604657757860724
Brasil,174544614.928986,0.02544096582358536,0.028550254025171022,530.0404963677987,0.01632629617643464,0.01830250115209797,3424.6785071900154,111894031.24097514,0.6410626376900803
British Virgin Islands,74077.57031,0,1.2116864509274227e-5,0.603566268496711,0,7.3133306977428765e-6,0,44710.72269130945,0.603566268496711
Brunei,507177.13285999995,6.0882412737385614e-5,8.295893852011509e-5,1.2182779440018863,4.434133069486443e-5,4.4153594340177926e-5,8.195549328331756,269937.0770936896,0.5322343213139351
Bulgaria,8994531.108044,0.0015470372546472699,0.0014712350081750587,7.590815931176161,8.079720187980911e-4,7.582285542481456e-4,208.250947411009,4635500.297570875,0.5153687548454025
Burkina Faso,11021715.6721,2.2168941971446006e-4,0.001802821486985944,11.944958175673898,1.2283124743288639e-4,9.600406758861989e-4,29.84222361022545,5869297.342888222,0.5325212079046426
