lon,lat,bsm_response
-0.5,10.5,0.5949141285344017
-0.5,11.5,0.4973071213241814
-0.5,12.5,0.46702313123101974
-0.5,13.5,0.5195012455112438
-0.5,14.5,0.5954108129764193
-0.5,15.5,0.6514237915798299
-0.5,16.5,0.5982028177522818
-0.5,17.5,0.4929580007137475
-0.5,18.5,0.4627074777599723
-0.5,19.5,0.474535180732397
-0.5,20.5,0.4475257358914522
-0.5,21.5,0.44451681411002764
-0.5,22.5,0.43630032215822656
-0.5,23.5,0.438145338352304
-0.5,24.5,0.43932992016608474
-0.5,25.5,0.43796943294514595
-0.5,26.5,0.4390840497353182
-0.5,27.5,0.5069806734747848
-0.5,28.5,0.47745678752800313
-0.5,29.5,0.44896825207386026
-0.5,30.5,0.4280811196836874
-0.5,31.5,0.45341246728878104
-0.5,32.5,0.5858314092563469
-0.5,33.5,0.5515307575609774
-0.5,34.5,0.5794479930124063
-0.5,35.5,0.3960137022235665
-0.5,37.5,0.6077469041435429
-0.5,38.5,0.43745644911474657
-0.5,39.5,0.42056683123981203
-0.5,40.5,0.5424285020866046
-0.5,41.5,0.479588506964018
-0.5,42.5,0.5365354008281147
-0.5,43.5,0.45329429076411176
-0.5,44.5,0.3478534383756058
-0.5,45.5,0.3438508663092285
-0.5,46.5,0.40740957630062435
-0.5,47.5,0.3620552115672845
-0.5,48.5,0.41603347739287494
-0.5,49.5,0.39735663815594513
-0.5,5.5,0.5484304801631392
-0.5,50.5,0.4407959026382434
-0.5,51.5,0.4567757107443059
-0.5,52.5,0.3659532842010942
-0.5,53.5,0.4024893567792486
-0.5,54.5,0.510257531733912
-0.5,6.5,0.6690392584957963
-0.5,60.5,0.45041357908741714
-0.5,7.5,0.6737263495699436
-0.5,8.5,0.6884741599739588
-0.5,9.5,0.6119816528096094
-1.5,10.5,0.6453292641582872
-1.5,11.5,0.6060785796761542
-1.5,12.5,0.44268392505115256
-1.5,13.5,0.4944042533961363
-1.5,14.5,0.6148499262644638
-1.5,15.5,0.6581787598933634
-1.5,16.5,0.5967572736770684
-1.5,17.5,0.47725644734007894
-1.5,18.5,0.47271204204584066
-1.5,19.5,0.4581887849890966
-1.5,20.5,0.44535326730402036
-1.5,21.5,0.4436304005285953
-1.5,22.5,0.4365295524858987
-1.5,23.5,0.43808733576071207
-1.5,24.5,0.44699514875772683
-1.5,25.5,0.43796943294514595
-1.5,26.5,0.43774657770090886
-1.5,27.5,0.43544210004422657
-1.5,28.5,0.43608156670005926
-1.5,29.5,0.49303422033157457
-1.5,30.5,0.46994997090671714
-1.5,31.5,0.5103218249189304
-1.5,32.5,0.5572378357597311
-1.5,33.5,0.5381512365853955
-1.5,34.5,0.5306099334074019
-1.5,35.5,0.4988035494676525
-1.5,36.5,0.4106677216213761
-1.5,37.5,0.4938423017542303
-1.5,38.5,0.4889418470325843
-1.5,39.5,0.5168565114140844
-1.5,4.5,0.5802264825453187
-1.5,40.5,0.5754099515739657
-1.5,41.5,0.5066801778913731
-1.5,42.5,0.4541120110507354
-1.5,43.5,0.48566568804460775
-1.5,44.5,0.46637004965404116
-1.5,45.5,0.4704984375616599
-1.5,46.5,0.3883974484836527
-1.5,47.5,0.3423585227015461
-1.5,48.5,0.3550935853122062
-1.5,49.5,0.4366931642545039
-1.5,5.5,0.6465621081845215
-1.5,50.5,0.4655851936467483
-1.5,51.5,0.4249215649899793
-1.5,52.5,0.3568355788990388
-1.5,53.5,0.4004955695063173
-1.5,54.5,0.36443364908477505
-1.5,55.5,0.4640313295525898
-1.5,57.5,0.5695691491385887
-1.5,59.5,0.41782637358159336
-1.5,6.5,0.563676035072703
-1.5,60.5,0.5489301476182927
-1.5,7.5,0.6691085039816193
-1.5,8.5,0.7136777823224292
-1.5,9.5,0.7072568488715437
-10.5,10.5,0.7676443668044749
-10.5,11.5,0.7294786217407376
-10.5,12.5,0.7360564279580923
-10.5,13.5,0.7308824992818805
-10.5,14.5,0.6951623520850773
-10.5,15.5,0.622158012554582
-10.5,16.5,0.6004162230851752
-10.5,17.5,0.613225622224929
-10.5,18.5,0.4855808187348538
-10.5,19.5,0.4409396483736352
-10.5,20.5,0.4378232552704625
-10.5,21.5,0.4350787287276832
-10.5,22.5,0.43412118680122275
-10.5,23.5,0.4343403552451988
-10.5,24.5,0.43625883616810696
-10.5,25.5,0.4292060365604131
-10.5,26.5,0.42144801547401395
-10.5,27.5,0.469418545051767
-10.5,28.5,0.5771608999264889
-10.5,29.5,0.6443570698778244
-10.5,5.5,0.5724173484174814
-10.5,51.5,0.5795422868522955
-10.5,52.5,0.5656968815389201
-10.5,53.5,0.4765631438607303
-10.5,54.5,0.39522365611699883
-10.5,6.5,0.6940409163218553
-10.5,7.5,0.726253236399772
-10.5,8.5,0.717740326126531
-10.5,9.5,0.7684245147518436
-100.5,16.5,0.474355954970731
-100.5,17.5,0.6432300816896873
-100.5,18.5,0.5208811863908203
-100.5,19.5,0.5220754056027396
-100.5,20.5,0.4173749530584867
-100.5,21.5,0.5200342052397183
-100.5,22.5,0.5311947008966696
-100.5,23.5,0.5880593675066725
-100.5,24.5,0.6147421131959797
-100.5,25.5,0.5163513501787732
-100.5,26.5,0.6936405086614114
-100.5,27.5,0.6977124291425012
-100.5,28.5,0.6208585155221106
-100.5,29.5,0.643232221911717
-100.5,30.5,0.6211046947717968
-100.5,31.5,0.5954067939289717
-100.5,32.5,0.5679180720421809
-100.5,33.5,0.5717198051137607
-100.5,34.5,0.5701357466826731
-100.5,35.5,0.5963164787492264
-100.5,36.5,0.5927604346957025
-100.5,37.5,0.5238411235129822
-100.5,38.5,0.5603361810441443
-100.5,39.5,0.5769941232914239
-100.5,40.5,0.599937939391111
-100.5,41.5,0.6477649406061956
-100.5,42.5,0.6505973566252765
-100.5,43.5,0.5972209216466033
-100.5,44.5,0.5613837014478023
-100.5,45.5,0.5553324686473208
-100.5,46.5,0.5682247649961288
-100.5,47.5,0.5313109423025854
-100.5,48.5,0.5046056629721052
-100.5,49.5,0.5063584543099
-100.5,50.5,0.49531292404643856
-100.5,51.5,0.5138567484721711
-100.5,52.5,0.47249927712934764
-100.5,53.5,0.4387657422722179
-100.5,54.5,0.45447858946845404
-100.5,55.5,0.3737287086733175
-100.5,56.5,0.3702478179687046
-100.5,57.5,0.3449753209277871
-100.5,58.5,0.3422658890032811
-100.5,59.5,0.35578878425288285
-100.5,60.5,0.33153051978154907
-100.5,61.5,0.32576387885252367
-100.5,62.5,0.32727668923271297
-100.5,63.5,0.33320417130297986
-100.5,64.5,0.32708238640039156
-100.5,65.5,0.3266782970368863
-100.5,66.5,0.3292038173527351
-100.5,67.5,0.3478778094202466
-100.5,68.5,0.32326596317097395
-100.5,69.5,0.33249585788966457
-100.5,70.5,0.32642802341398686
-100.5,71.5,0.3381552588791227
-100.5,72.5,0.3026567361496196
-100.5,73.5,0.3209647873489762
-100.5,74.5,0.3574748200560489
-100.5,75.5,0.31622204725625386
-100.5,76.5,0.31555347925508137
-100.5,77.5,0.3341845390525264
-100.5,78.5,0.32201610905042727
-100.5,79.5,0.3534264138119352
-100.5,80.5,0.3484015841918673
-101.5,17.5,0.6642631939586181
-101.5,18.5,0.6516983825892656
-101.5,19.5,0.5156535940146887
-101.5,20.5,0.46823153438488124
-101.5,21.5,0.4665488215791426
-101.5,22.5,0.5310732165961681
-101.5,23.5,0.6181518694378568
-101.5,24.5,0.6587635467828273
-101.5,25.5,0.6566551213295025
-101.5,26.5,0.695725628900485
